Keyword,Score
deformable,0.1494
airframe,0.1494
tailless,0.149
frictional,0.149
levy,0.1489
rupture,0.1488
outwards,0.1478
speeds,0.1477
thermomechanics,0.1477
struts,0.1477
falling,0.1475
flared,0.1474
slip,0.1471
hypersonic,0.1471
dislocation,0.1468
potential,0.1466
stresses,0.1465
deflected,0.1465
magnetofluidmechanics,0.1464
electrohydrodynamic,0.1463
plates,0.1462
fore,0.146
dissipation,0.1459
gasdynamic,0.1458
intuition,0.1457
orientation,0.1456
payload,0.1456
flying,0.1455
twisting,0.1454
volumetric,0.1453
vibrational,0.1451
shield,0.1451
lip,0.1449
subroutines,0.1447
vectors,0.1446
draws,0.1444
nozzle,0.1442
sweptwing,0.1439
membranes,0.1439
underside,0.1438
drosophila,0.1438
carried,0.1436
inward,0.1436
speed,0.1435
rotationally,0.1435
crank,0.1433
modeling,0.1433
slope,0.1432
derivations,0.1431
gliders,0.1427
plate,0.1427
intake,0.1424
characteristically,0.1424
dipole,0.1424
compressibility,0.1421
engined,0.142
windtunnels,0.1419
dissipative,0.1419
obliquely,0.1415
weakening,0.1414
tubular,0.1413
propelled,0.1404
longitudinally,0.1402
differentials,0.1402
unstressed,0.1402
rotational,0.14
sweptback,0.1398
spiked,0.1397
pitch,0.1395
unloaded,0.1394
incoming,0.1391
divergence,0.1391
semicircular,0.139
illustrations,0.1389
engine,0.1387
buoyancy,0.1384
undersurface,0.1382
reinforced,0.138
direction,0.1379
detached,0.1376
unpressurized,0.1376
plume,0.1373
conicals,0.1372
superaerodynamic,0.137
bluntnesses,0.1366
analyses,0.1366
stiffener,0.1365
impact,0.1364
fluxes,0.1362
downward,0.1362
uncambered,0.1361
conpressibility,0.1359
penetrations,0.1359
roughening,0.1358
eroded,0.1358
airborne,0.1358
wave,0.1358
wedges,0.1357
rankine,0.1357
entrained,0.1354
vortical,0.1353
physcal,0.1351
pitchingmoment,0.1351
hampered,0.1351
motors,0.1351
drawn,0.1351
axial,0.135
instabilities,0.135
hovercraft,0.135
roughnesses,0.1346
definitions,0.1345
ducts,0.1345
outline,0.1345
bypass,0.1344
roar,0.1342
longitudinal,0.1342
sublayer,0.1342
hypervelocity,0.1341
motor,0.134
torque,0.1339
draw,0.1338
moves,0.1337
semiapex,0.1334
burst,0.1333
iferation,0.1333
irrotational,0.1329
bump,0.1327
shape,0.1327
displaced,0.1327
conical,0.1327
modeled,0.1325
transfer,0.1325
retrovelocity,0.1319
explanations,0.1317
boattailing,0.1316
borne,0.1314
electrostatically,0.1314
elliptical,0.1312
accentuated,0.1311
penetrating,0.131
effusion,0.1309
shifting,0.1306
absorbing,0.1305
flexibilities,0.1304
smoothness,0.1301
insulates,0.13
orifices,0.1299
loadings,0.1298
polystyrene,0.1298
aerial,0.1296
lyskov,0.1296
jump,0.1291
angled,0.1289
tensile,0.1286
attachments,0.1284
kinematic,0.1284
semicircle,0.1283
excitations,0.1282
transport,0.1281
circumferential,0.1281
emerges,0.1278
magnetoacoustic,0.1276
pressureized,0.1276
demarcation,0.1276
designs,0.1274
engineering,0.1274
transfers,0.1272
gravity,0.1272
planes,0.1271
rise,0.1266
arm,0.1266
descending,0.1265
flapping,0.1263
downwards,0.1261
