Keyword,Score
resultants,0.0987
fundamentals,0.0987
shaft,0.0986
paradoxes,0.0984
bessel,0.0983
tend,0.098
gravitational,0.0976
link,0.0975
wendt,0.0975
whisker,0.0973
underestimate,0.0972
nondimensional,0.0969
deduced,0.0969
shroud,0.0967
assists,0.0966
photothermoelastic,0.0966
wets,0.0965
gain,0.0953
monopole,0.0953
boltzmann,0.0951
supplementary,0.0949
facilitates,0.0949
strictly,0.0948
cropped,0.0945
unbounded,0.0945
deductions,0.0944
asymptotes,0.0941
centrifugal,0.094
dihedral,0.0939
heading,0.0939
ambiguity,0.0938
hardening,0.0936
choked,0.0935
ii,0.0934
window,0.0928
transducer,0.0928
lightly,0.0928
footing,0.0925
launching,0.0924
decreases,0.0924
chase,0.0924
obtainec,0.0922
versatility,0.0921
distortion,0.0917
erature,0.0916
altitudes,0.0913
piercy,0.0913
conceptual,0.0909
tendencies,0.0905
ascertained,0.0904
unrealistic,0.0903
stagnation,0.0902
mesh,0.09
wassermann,0.0898
simulating,0.0894
mediums,0.0894
nonflammable,0.0893
evaporation,0.0892
equicohesive,0.0886
retrorocket,0.0885
planforms,0.088
redirecting,0.0877
flutter,0.0876
intractable,0.0876
plausible,0.0873
throw,0.0871
evaluates,0.087
undergoes,0.0863
inhomogeneous,0.0858
complements,0.0856
drift,0.0854
prototype,0.0853
prominences,0.0852
breguet,0.085
cutout,0.0848
moments,0.0847
strains,0.0846
partial,0.0846
beams,0.0846
transpiration,0.0845
diffusion,0.0843
dryden,0.0839
continuum,0.0838
electroformed,0.0837
define,0.0835
cascade,0.0835
piston,0.0832
cones,0.083
scattering,0.083
reflection,0.0829
arrow,0.0829
distributions,0.0829
pound,0.0827
firings,0.0826
poisson,0.0824
forward,0.0819
envelopes,0.0818
sections,0.0817
attenuation,0.0817
projected,0.0816
reversibility,0.0815
questionable,0.0815
spark,0.0814
lyapunov,0.0812
induce,0.081
slabs,0.0807
manoeuvre,0.08
bridging,0.08
servos,0.0799
illustrative,0.0796
inversions,0.0794
withdrawal,0.0794
capillary,0.0792
hodograph,0.0791
propagation,0.0791
janzen,0.0791
prone,0.0788
joule,0.0785
reimpinge,0.0779
steamline,0.0778
hypothetical,0.0777
classifications,0.0775
hysteresis,0.0774
analyticially,0.0773
laminary,0.0773
feldman,0.077
utilzation,0.077
rsults,0.0769
reexamination,0.0768
fuels,0.0767
relativistic,0.0767
sturm,0.0766
reservoir,0.0766
wanlass,0.0765
added,0.0763
dissertation,0.0761
epoxy,0.076
skewed,0.0759
phenomenon,0.0759
hypothesis,0.0759
eddies,0.0759
superposition,0.0757
barrel,0.0756
reshotko,0.0754
adverse,0.0754
currents,0.0753
extrapolations,0.0751
spheroids,0.075
loose,0.0748
aerelastic,0.0746
coefficient,0.0745
yielding,0.074
outboard,0.0739
permeability,0.0737
hartree,0.0734
shift,0.0734
stein,0.0733
supercritical,0.0731
sedov,0.073
ied,0.0728
midchord,0.0726
kirchhoffs,0.0725
vice,0.0724
muller,0.0721
designers,0.0719
detonations,0.0719
fringe,0.0718
process,0.0718
releasing,0.0717
virtually,0.0716
appended,0.0716
erfc,0.0715
bluff,0.0714
hopf,0.0713
swallows,0.0713
supplement,0.0712
unperturbed,0.0708
singularity,0.0706
appendices,0.0701
unswept,0.0701
prewhirl,0.0699
integrals,0.0698
unretarded,0.0698
ellipsoidal,0.0696
geodesics,0.0692
leeward,0.069
bifurcated,0.0689
sprague,0.0689
increments,0.0688
additive,0.0688
eccentricities,0.0687
modulated,0.0686
seban,0.0686
berger,0.0685
actual,0.0684
statements,0.0684
introduring,0.0684
criticism,0.0681
steadiness,0.0681
1947,0.068
deeper,0.0676
untested,0.0674
unaffected,0.0673
lucid,0.0672
duration,0.0672
threaten,0.0671
breadth,0.067
poiseuille,0.067
clamping,0.0667
humphreys,0.0667
hangling,0.0665
riddell,0.0664
sonic,0.0664
deuce,0.0663
succession,0.0663
schwarz,0.0663
heats,0.066
residual,0.0659
attractive,0.0656
diminishes,0.0656
lighthill,0.0654
emmons,0.0651
hemisphere,0.0651
rott,0.0648
taps,0.0647
discontinuities,0.0645
inflection,0.0643
shocked,0.0643
rameter,0.0641
et,0.0641
yarymovych,0.0638
external,0.0638
critically,0.0638
rudimentary,0.0637
enjoy,0.0635
implicit,0.0635
exposition,0.0635
edelfelt,0.0634
shells,0.0634
legendre,0.0631
2000,0.063
gothic,0.063
multipropeller,0.0626
schemes,0.0624
dropoff,0.0623
shortcomings,0.0623
msvo,0.0622
controls,0.062
statistically,0.0617
clearance,0.0617
careful,0.0616
howorth,0.0615
circulated,0.0615
cores,0.0609
dielectric,0.0603
view,0.0599
declined,0.0596
cole,0.0595
responses,0.0595
arc,0.0594
empirical,0.0593
formation,0.0592
relieve,0.0592
bubble,0.059
returning,0.0589
posed,0.0588
inserting,0.0586
batdorf,0.0586
incidental,0.0585
grad,0.0584
linearity,0.0584
scales,0.0579
vanguard,0.0577
specialized,0.0577
retains,0.0574
kernels,0.0571
efficacious,0.057
diagonal,0.0569
booms,0.0567
coasting,0.0566
variously,0.0565
convex,0.0563
promoted,0.0563
davies,0.0562
garrick,0.0561
jacobian,0.0558
disparity,0.0558
evidence,0.0558
require,0.0554
vz,0.0551
similitudes,0.055
convolution,0.055
elapsing,0.0543
infinitesimally,0.0539
brackets,0.0538
shed,0.0533
bimolecular,0.0533
mistake,0.0533
biharmonic,0.0533
describes,0.0531
0001,0.0529
disappears,0.0528
inconclusive,0.0528
dissociation,0.0528
parameters,0.0527
integro,0.0522
assure,0.052
3014,0.0519
havelock,0.0518
resistance,0.0516
lecture,0.0514
obviously,0.0513
verfied,0.0513
creeping,0.0513
plast,0.0512
grades,0.0511
proportions,0.0511
undisturbed,0.0511
advanced,0.051
indicial,0.051
backing,0.0509
annulus,0.0509
spectrograph,0.0507
ludweig,0.0506
delft,0.0506
sobsonic,0.0505
penalties,0.0505
margins,0.0504
account,0.0502
analogues,0.0502
foreknowledge,0.0501
theoretic,0.05
inputs,0.0491
existed,0.049
versus,0.0487
sinusoids,0.0485
grid,0.0485
midway,0.0484
aspect,0.0482
opaque,0.0482
pressurised,0.0482
recoveries,0.0481
relay,0.0481
erdmann,0.0481
thorough,0.0479
identification,0.0476
interdependence,0.0474
prior,0.0473
apex,0.0464
exploit,0.0463
kirk,0.0463
tained,0.0462
strips,0.046
truncation,0.046
inductance,0.0458
sure,0.0458
classical,0.0458
appraoch,0.0456
strengths,0.0454
capacitance,0.0451
dyke,0.0451
mehtod,0.045
splitter,0.0447
meteor,0.0447
castigliano,0.0443
generates,0.0439
trefftz,0.0437
undertook,0.0432
physiological,0.0432
artifice,0.0431
unmanned,0.0431
adopted,0.043
dilation,0.043
masked,0.0429
eucken,0.0429
gyration,0.0426
samples,0.0426
dufour,0.0426
billowing,0.0425
enlightening,0.0425
come,0.0425
aft,0.0425
specifications,0.0424
sector,0.0423
protuberances,0.0421
performances,0.0421
comprising,0.0419
express,0.0418
mises,0.0414
thereof,0.0412
einbinder,0.0407
rhombic,0.0406
ease,0.0405
alleviating,0.0404
exception,0.0403
trends,0.0402
verifications,0.0402
overlapping,0.0397
cps,0.0394
fractional,0.0394
earlier,0.0393
peng,0.0393
adams,0.0393
adjoining,0.0393
astrophysics,0.039
maximuin,0.0386
newly,0.0386
improve,0.0384
modes,0.0382
11in,0.0381
accumulations,0.0379
landahl,0.0377
beskin,0.0376
phasing,0.0376
hypergeometric,0.0373
contexts,0.0372
diffuser,0.0371
halved,0.0371
unsolved,0.037
lin,0.0368
eniac,0.0366
mach,0.0365
rendered,0.0364
provoking,0.0364
criterion,0.0362
wrinkles,0.0361
multiweb,0.0358
ft1,0.0357
consierable,0.0356
gortler,0.0355
references,0.0354
indirectly,0.0352
asme,0.0351
minus,0.0349
feature,0.0348
salient,0.0347
superiority,0.0346
concurrent,0.0345
inherent,0.0344
droop,0.0343
stem,0.034
driver,0.034
unresolved,0.0339
korst,0.0338
embraces,0.0335
drum,0.0334
1730,0.0331
van,0.0331
neutral,0.033
boiloff,0.0326
separable,0.0324
disc,0.0323
massbalance,0.0321
dynamically,0.0321
eggers,0.032
conductive,0.032
pearse,0.0319
tabulations,0.0319
chapman,0.0319
rate,0.0316
related,0.0315
keulegan,0.0315
constituent,0.0314
hirshfelder,0.0313
deficit,0.0312
termination,0.0311
teflon,0.0308
traced,0.0308
pimple,0.0308
conventional,0.0302
instrumentation,0.0301
wires,0.03
experience,0.0299
edition,0.0297
installation,0.0294
declassified,0.0292
termperature,0.0292
kemp,0.0288
picture,0.0288
hoshizaki,0.0285
developable,0.0283
paths,0.0278
approximated,0.0277
neared,0.0277
oscillator,0.0275
multicellular,0.0267
resolved,0.0267
haack,0.0266
presents,0.0263
efficiencies,0.026
whichever,0.026
finite,0.026
interact,0.0249
convenience,0.0248
bears,0.0247
interpreted,0.0247
classic,0.0246
contrast,0.0243
aside,0.024
grossman,0.0239
aural,0.0239
confine,0.0238
skan,0.0235
biconvex,0.0234
microphones,0.0234
zakkay,0.0228
0degrees,0.0224
encompass,0.0223
galcit,0.0223
confirmed,0.0221
representations,0.022
rules,0.022
stefan,0.0217
arrest,0.0216
texts,0.0214
minor,0.0213
branches,0.0212
tangency,0.0211
eliminates,0.0211
gauged,0.021
detect,0.0205
historically,0.0205
gardless,0.0202
microinches,0.0201
taking,0.0199
cusps,0.0197
brightness,0.0192
gravalos,0.0189
successful,0.0187
taper,0.0185
spreiter,0.0183
caloric,0.0182
commercial,0.0182
sodium,0.018
deryagin,0.0179
premature,0.0178
l57l10,0.0175
thirdly,0.0175
justifiable,0.0173
specifically,0.0171
intention,0.0171
cheng,0.0164
gupta,0.0162
ignite,0.0161
calibrations,0.015
confidence,0.015
bisector,0.0149
jastrow,0.0147
64a010,0.0144
decomposition,0.0142
doubled,0.0141
lagrange,0.014
geiger,0.0135
farnborough,0.0133
busemann,0.0132
viii,0.0132
volterra,0.0132
macadam,0.0129
regularities,0.0129
violates,0.0128
wich,0.0122
ackeret,0.0122
assortment,0.0122
translatory,0.012
bells,0.0119
lindsey,0.0115
functional,0.0108
stators,0.0107
sutherland,0.0106
dorodnitzin,0.0106
potter,0.0106
stratagem,0.0106
cx,0.0105
directed,0.0096
nonreacting,0.0095
budiansky,0.0095
note,0.0084
interferometric,0.0083
observables,0.0075
ohm,0.0075
glycerin,0.0074
filter,0.0072
eigenvalue,0.007
periods,0.0066
octave,0.0061
batchelor,0.006
painleve,0.0057
vital,0.0055
recommended,0.0054
modulus,0.0053
grazing,0.0052
notable,0.0048
toriconic1a,0.0042
5d,0.0034
does,0.0031
polytechnic,0.0029
frustums,0.0023
nonnegative,0.0021
summed,0.002
evvard,0.0017
lomax,0.0017
agrees,0.0015
crosscorrelation,0.0015
shypersonic,0.0005
named,0.0001
230,-0.0004
enormously,-0.0007
upwash,-0.0018
dependent,-0.0031
routine,-0.0033
charging,-0.0042
retarded,-0.0043
oxidation,-0.0043
fredholm,-0.0045
potentiometer,-0.0048
ailcron,-0.0052
zurich,-0.0059
supported,-0.006
theta,-0.0067
hidalgo,-0.0067
sigularity,-0.0068
lag,-0.0069
recombination,-0.007
libration,-0.0077
op,-0.0077
michael,-0.0079
29,-0.008
primary,-0.0084
psf,-0.0085
onsager,-0.0087
ask,-0.0087
rms,-0.0097
originting,-0.0097
american,-0.0102
hero,-0.0114
wiley,-0.0119
ablating,-0.012
applying,-0.0132
coupon,-0.0139
serve,-0.0144
simpler,-0.0148
rm,-0.0149
neater,-0.0154
parietale,-0.0166
ordinates,-0.0171
regimes,-0.0175
list,-0.02
article,-0.0204
inconvenient,-0.0223
sharpedge,-0.0223
immobile,-0.0226
couple,-0.0229
corollary,-0.0234
monocoque,-0.0236
terminal,-0.024
fission,-0.0256
closure,-0.027
heretofore,-0.0286
latent,-0.0287
charters,-0.0291
krypton,-0.0326
phenolic,-0.0349
determinate,-0.035
eqs,-0.0358
indications,-0.0358
dirac,-0.0369
logarithmic,-0.037
registers,-0.0382
utia,-0.0436
ibm,-0.049
binary,-0.0545
adjoint,-0.0695
nullify,-0.0701
phosphorescent,-0.0736
